paper_id,title,final_decision,primary_topics,secondary_topics,emergent_topics,application_area,method_family,evaluation_type,llm_confidence,llm_rationale,review_status,review_notes
2bb96fecae4b,Portfolio rebalancing experiments using the Quantum Alternating Operator Ansatz,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio rebalancing,qaoa_or_optimization,simulator,0.9500,The paper applies the Quantum Alternating Operator Ansatz for discrete portfolio rebalancing optimization on a simulated gate-model quantum computer.,draft_llm,
fe91ad8edae4,EAQGA: A Quantum-Enhanced Genetic Algorithm with Novel Entanglement-Aware Crossovers,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio optimization,hybrid_unspecified,real_hardware,0.9500,The paper advances a quantum-enhanced genetic algorithm for solving a portfolio optimization problem and evaluates it on real IBM quantum hardware.,draft_llm,
5bc05961fdc0,Quantum Machine Learning for Credit Scoring,include,"[""credit_and_lending""]","[""quantum_ml_for_finance""]",[],credit scoring for SMEs,quantum_ml,real_hardware,0.9500,The paper applies hybrid quantum machine learning models to a credit scoring application for SMEs using both simulators and real hardware.,draft_llm,
88a78745d9de,Pricing Multiasset Derivatives by Variational Quantum Algorithms,include,"[""derivative_pricing""]",[],[],multiasset derivative pricing,variational_or_vqe,simulator,0.9500,The paper applies a variational quantum algorithm to solve the Black–Scholes PDE for pricing multiasset derivatives via simulation.,draft_llm,
69b8b36d8aad,"A Quantum Risk Management Framework (QRMF): Quantum Amplitude Estimation for VaR/CVaR, Entanglement-Based Systemic Risk Analytics, and Variational Risk Optimization",include,"[""risk_management""]","[""optimization_methods""]",[],quantum VaR/CVaR computation and systemic risk analytics,hybrid_unspecified,simulator,0.9500,The work develops a quantum framework for tail risk metrics and systemic risk analytics combined with variational risk optimization in finance.,draft_llm,
42c7641a302c,Multiclass portfolio optimization via variational quantum Eigensolver with Dicke state ansatz,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],multiclass portfolio optimization with diversification constraints,variational_or_vqe,simulator,0.9500,The work applies a VQE-based ansatz to the portfolio optimization problem with explicit diversification constraints.,draft_llm,
32f23740c07f,hgribeirogeo/qaoa-carbon-cerrado: v2.0 - Seven-Run Validation Study,include,"[""portfolio_optimization""]","[""optimization_methods"", ""benchmarking_and_advantage""]",[],carbon credit portfolio optimization in the Brazilian Cerrado,qaoa_or_optimization,real_hardware,0.9500,"The paper empirically evaluates QAOA with zero noise extrapolation for carbon credit portfolio optimization on IBM quantum hardware, comparing performance against a classical baseline.",draft_llm,
aa6d0e7e53a5,Comprehensive Analysis of VQC for Financial Fraud Detection: A Comparative Study of Quantum Encoding Techniques and Architectural Optimizations,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],financial fraud detection,variational_or_vqe,simulator,0.9500,The paper evaluates variational quantum classifiers for financial fraud detection using simulated experiments.,draft_llm,
128a4d756907,Towards Pricing Financial Derivatives with an IBM Quantum Computer.,include,"[""derivative_pricing""]","[""quantum_ml_for_finance""]",[],Pricing interest-rate derivatives using quantum PCA on HJM model,quantum_ml,real_hardware,0.9500,Focuses on pricing interest-rate derivatives using quantum principal component analysis executed on IBM quantum hardware.,draft_llm,
19cfac96e8fe,Quantum-Enhanced Reinforcement Learning with LSTM Forecasting Signals for Optimizing Fintech Trading Decisions,include,"[""trading_and_execution""]","[""quantum_ml_for_finance"", ""forecasting_and_prediction""]",[],quantum-enhanced reinforcement learning for financial trading,quantum_ml,simulator,0.9500,The paper applies quantum reinforcement learning models with LSTM forecasting signals to optimize trading decisions in a simulated financial environment.,draft_llm,
3fe31dea1f88,Quantum Risk Analysis: Beyond (Conditional) Value-at-Risk,include,"[""risk_management""]","[""simulation_and_monte_carlo""]",[],"quantum computation of advanced financial risk measures (EVaR, RVaR)",amplitude_estimation,real_hardware,0.9500,"The paper uses quantum amplitude estimation to compute and compare advanced risk measures, evaluating performance on both a simulator and real quantum hardware.",draft_llm,
c70ae91a70de,The Lie Algebra of XY-mixer Topologies and Warm Starting QAOA for Constrained Optimization,include,"[""optimization_methods""]","[""portfolio_optimization""]",[],constrained combinatorial optimization including portfolio optimization,qaoa_or_optimization,simulator,0.9500,"The paper develops and benchmarks a QAOA-based optimization method for constrained problems, demonstrated via simulations on portfolio optimization and other NP-hard tasks.",draft_llm,
c233bf88de0f,On Quantum BSDE Solver for High-Dimensional Parabolic PDEs,include,"[""derivative_pricing""]","[""quantum_ml_for_finance"", ""simulation_and_monte_carlo""]",[],high-dimensional PDE solvers for option pricing and stochastic control,variational_or_vqe,simulator,0.9500,The paper employs variational quantum circuits and Monte Carlo simulation to solve BSDE-formulated PDEs for option pricing under Black–Scholes and HJB models.,draft_llm,
2e9f88ec6794,Quantum speed-ups for solving semidefinite relaxations of polynomial optimization,include,"[""optimization_methods""]","[""benchmarking_and_advantage""]",[],semidefinite relaxations in polynomial optimization (Lasserre hierarchy),other_gate_based,analytical,0.9500,The paper presents and analytically benchmarks a quantum algorithm for semidefinite relaxations in polynomial optimization using block encodings and matrix multiplicative weights.,draft_llm,
06fdf18c23c4,A Hybrid Quantum-Classical Model for Stock Price Prediction Using Quantum-Enhanced Long Short-Term Memory,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],stock price prediction,quantum_ml,real_hardware,0.9500,The paper proposes a hybrid quantum-classical LSTM model for stock price forecasting and validates it on real quantum hardware.,draft_llm,
107e6a53aff5,Credit Risk Analysis Using Quantum Computers,include,"[""credit_and_lending""]","[""simulation_and_monte_carlo"", ""risk_management""]",[],credit risk analysis and economic capital estimation,amplitude_estimation,analytical,0.9500,"The paper develops a quantum amplitude estimation algorithm to efficiently compute credit risk capital requirements, replacing classical Monte Carlo simulation.",draft_llm,
dd6bbf2bf180,Toward pricing financial derivatives with an IBM quantum computer,include,"[""derivative_pricing""]","[""quantum_ml_for_finance"", ""simulation_and_monte_carlo""]",[],pricing interest-rate derivatives under the Heath-Jarrow-Morton model,quantum_ml,real_hardware,0.9500,The paper employs quantum PCA on IBM QX2 to simulate and price interest-rate derivatives.,draft_llm,
2a646809136c,Hybrid Quantum-Classical Method for Bank Account Fraud Detection using Quantum Encoding and Quantum Machine Learning,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],bank account fraud detection,hybrid_unspecified,simulator,0.9500,"The paper presents a hybrid quantum-classical fraud detection approach using quantum encoding and ML, evaluated on simulators under hardware constraints.",draft_llm,
58470ab028ef,Quantum Autoencoder for Enhanced Fraud Detection in Imbalanced Credit Card Dataset,include,"[""fraud_and_detection""]",[],[],credit card fraud detection,quantum_ml,simulator,0.9500,"The paper applies a quantum autoencoder for anomaly detection in imbalanced credit card data, fitting within fraud_and_detection and quantum ML evaluated via simulation.",draft_llm,
5eeda9c337d5,Quantum Topological Graph Neural Networks for Detecting Complex Fraud Patterns,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],fraud detection in financial transaction networks,variational_or_vqe,benchmark_comparison,0.9500,The paper develops a variational quantum graph neural network framework specifically for fraud detection and benchmarks it against classical and quantum baselines.,draft_llm,
d7449b1ba0c5,Improving credit card transaction fraud detection using CVQBoosting,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],credit card transaction fraud detection,quantum_ml,real_hardware,0.9500,The paper proposes a hybrid quantum-classical machine learning boosting algorithm for credit card fraud detection evaluated on real photonic hardware.,draft_llm,
251a3166cf94,hgribeirogeo/qaoa-carbon-cerrado: v1.0 - Initial Release for Quantum Journal Submission,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],carbon credit portfolio optimization in Brazilian Cerrado,qaoa_or_optimization,real_hardware,0.9500,This work applies QAOA-based optimization to a carbon credit portfolio problem with hardware experiments.,draft_llm,
772c12c0af17,Potential Applications of Quantum Computing for the Insurance Industry,include,"[""insurance_and_actuarial""]","[""simulation_and_monte_carlo""]",[],Valuation of insurance contracts via Monte Carlo amplitude estimation,amplitude_estimation,real_hardware,0.9500,The paper focuses on insurance contract valuation using amplitude estimation for Monte Carlo with experiments on simulator and actual quantum hardware.,draft_llm,
aa74f873e447,Quantum-Enhanced Generative Models for Rare Event Prediction,include,"[""forecasting_and_prediction"", ""quantum_ml_for_finance""]",[],[],rare-event prediction in finance,variational_or_vqe,simulator,0.9500,The paper develops a hybrid variational quantum-classical generative model for rare-event forecasting in finance evaluated via simulation.,draft_llm,
7b4b01100661,"Encoding trade-offs and design toolkits in quantum algorithms for discrete optimization: coloring, routing, scheduling, and other problems",include,"[""optimization_methods""]",[],[],"discrete combinatorial optimization including graph coloring, routing, scheduling, and portfolio rebalancing",qaoa_or_optimization,simulator,0.9500,The paper focuses on encoding representations and toolkit development for discrete optimization using QAOA methods.,draft_llm,
953d9d489a99,Python-Integrated Quantum–Classical Computing Framework for Intelligent Time-Series Prediction,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],financial time-series forecasting,quantum_ml,simulator,0.9500,The paper develops a hybrid quantum–classical ML framework for financial time-series prediction and evaluates it via simulation.,draft_llm,
2abf80ef91e3,Optimizing Hybrid Quantum-Classical Models Using Parameterized Quantum Circuits for Time-Series Forecasting,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],hybrid quantum-classical time-series forecasting across finance and other sectors,variational_or_vqe,simulator,0.9500,"The paper focuses on hybrid quantum-classical variational models for time-series forecasting, aligning with forecasting_and_prediction and quantum_ml_for_finance, evaluated via simulation.",draft_llm,
ed111831958f,Quantum algorithm for calculating risk contributions in a credit portfolio,include,"[""risk_management"", ""credit_and_lending""]",[],[],calculation of risk contributions in credit portfolios,amplitude_estimation,analytical,0.9400,The paper develops an amplitude-estimation–based quantum algorithm to compute risk contributions for credit portfolios and analytically compares its complexity to classical methods.,draft_llm,
1d44742c9e15,Pricing multi-asset derivatives by variational quantum algorithms,include,"[""derivative_pricing""]",[],[],multi-asset derivative pricing via Black–Scholes PDE,variational_or_vqe,simulator,0.9300,The paper develops a variational quantum algorithm to solve the Black–Scholes equation for pricing multi-asset derivatives.,draft_llm,
b43110ee807d,Quantum Risk Analysis of Financial Derivatives,include,"[""risk_management""]","[""derivative_pricing""]",[],VaR and CVaR estimation for financial derivatives,amplitude_estimation,simulator,0.9300,"The paper introduces quantum algorithms for VaR/CVaR risk metrics on derivatives, leveraging amplitude estimation and numerical simulation.",draft_llm,
18e20fb363bd,Forecasting Financial Risk using Quantum Neural Networks,include,"[""forecasting_and_prediction""]","[""risk_management"", ""quantum_ml_for_finance""]",[],financial risk forecasting for Moroccan companies,quantum_ml,simulator,0.9300,"The paper develops and trains quantum neural networks for financial risk forecasting, comparing results against classical ANNs on financial data via simulation.",draft_llm,
4bfe441a5ebe,Option pricing under stochastic volatility on a quantum computer,include,"[""derivative_pricing""]",[],[],pricing Asian and barrier options under the Heston stochastic volatility model,amplitude_estimation,simulator,0.9200,The paper designs quantum amplitude estimation algorithms for derivative pricing under stochastic volatility and validates them via resource simulations.,draft_llm,
b799681e41da,Sampled-Based Guided Quantum Walk: Non-variational quantum algorithm for combinatorial optimization,include,"[""optimization_methods""]","[""portfolio_optimization""]",[],combinatorial optimization including portfolio optimization,quantum_walk_or_search,simulator,0.9200,"Presents a quantum walk algorithm for combinatorial optimization problems, including a finance application in portfolio optimization, evaluated via simulation.",draft_llm,
a2b17048118b,Quantum Machine Learning Technique for Insurance Claim Fraud Detection with Quantum Feature Selection,include,"[""fraud_and_detection""]","[""insurance_and_actuarial"", ""quantum_ml_for_finance""]",[],home insurance claim fraud detection,quantum_ml,real_hardware,0.9200,The study focuses on applying quantum machine learning (QSVM) for detecting insurance fraud using IBM quantum hardware within the insurance domain.,draft_llm,
e0b170657e2b,VaR Estimation with Quantum Computing Noise Correction Using Neural Networks,include,"[""risk_management""]","[""simulation_and_monte_carlo""]",[],Value-at-Risk estimation for portfolios,hybrid_unspecified,real_hardware,0.9200,The paper develops a quantum-classical hybrid Monte Carlo method for VaR risk estimation with neural network-based noise mitigation on real quantum hardware.,draft_llm,
1292782ed153,CryptoQNet: Leveraging Quantum Computing for Enhanced Cryptocurrency Market Analysis,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],cryptocurrency market analysis and price volatility prediction,variational_or_vqe,simulator,0.9200,The paper develops a variational quantum ML model for forecasting cryptocurrency prices and volatility on a simulator.,draft_llm,
3c79c53d5d90,Portfolio Optimization with Digitized-Counterdiabatic Quantum Algorithms,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],discrete mean-variance portfolio optimization,qaoa_or_optimization,simulator,0.9200,Applies digitized-counterdiabatic quantum algorithms to discrete mean-variance portfolio optimization and demonstrates performance gains via simulation.,draft_llm,
e4bb7333aaa5,Variational quantum eigensolver with linear depth problem-inspired ansatz for solving portfolio optimization in finance,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio optimization using conditional value-at-risk,variational_or_vqe,real_hardware,0.9200,The paper develops and experimentally tests a VQE-based approach for solving portfolio optimization on a superconducting quantum computer.,draft_llm,
3490f229360e,Copula-based Risk Aggregation with Trapped Ion Quantum Computers,include,"[""risk_management""]","[""quantum_ml_for_finance""]",[],risk aggregation via copula modeling,quantum_ml,real_hardware,0.9200,"The paper uses a quantum ML model (QCBM) for risk aggregation on trapped-ion hardware, advancing risk management with quantum computing.",draft_llm,
68b9ec9dea63,Quantum-Enhanced Temporal Embeddings via a Hybrid Seq2Seq Architecture,include,"[""quantum_ml_for_finance""]","[""portfolio_optimization""]",[],S&P500 temporal embeddings for portfolio allocation,variational_or_vqe,simulator,0.9200,The paper develops a hybrid variational quantum LSTM for financial time-series embedding applied to portfolio allocation.,draft_llm,
1f628b8e78f9,Quantum vs. Classical Machine Learning: A Benchmark Study for Financial Prediction,include,"[""quantum_ml_for_finance""]","[""forecasting_and_prediction"", ""benchmarking_and_advantage""]",[],"financial time series prediction, volatility forecasting, and live trading simulation",quantum_ml,benchmark_comparison,0.9200,"The paper benchmarks quantum machine learning models against classical counterparts for financial prediction tasks including return direction, trading simulation, and volatility forecasting.",draft_llm,
a9e4b00c1fae,QLSTM4FM: Quantum Assisted Long Short-Term Memory Framework for Financial Market Trend Forecasting,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],stock price forecasting,quantum_ml,real_hardware,0.9200,The paper proposes a variational quantum‐enhanced LSTM for stock price forecasting and evaluates it against classical models on real quantum hardware.,draft_llm,
3506790b2a7a,HQRNN-FD: A Hybrid Quantum Recurrent Neural Network for Fraud Detection,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],financial fraud detection,variational_or_vqe,simulator,0.9200,The paper presents a hybrid variational quantum RNN for transaction fraud detection evaluated via simulated quantum noise experiments.,draft_llm,
e53a9047880e,Hybrid Quantum-Classical Neural Network (HQCNN) for Crypto Price Forecasting,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],cryptocurrency price forecasting,quantum_ml,simulator,0.9200,The paper applies a hybrid quantum-classical neural network for cryptocurrency price forecasting using quantum machine learning and is evaluated through simulation.,draft_llm,
9a0fead8d1bd,Large-scale portfolio optimization using Pauli Correlation Encoding,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio optimization in high-dimensional stock markets,variational_or_vqe,simulator,0.9200,The paper applies a variational quantum algorithm to a large-scale portfolio optimization problem using Pauli Correlation Encoding on simulated hardware.,draft_llm,
e35ea72a378e,Finding the Optimal Currency Composition of Foreign Exchange Reserves with a Quantum Computer,include,"[""portfolio_optimization""]","[""benchmarking_and_advantage""]",[],Optimal currency composition of foreign exchange reserves,qaoa_or_optimization,real_hardware,0.9200,"The paper implements and benchmarks gate-based quantum algorithms (QAOA, VQE, Grover search) on real hardware to solve a portfolio optimization problem for FX reserves.",draft_llm,
822dbee7acfe,Scaling Portfolio Diversification with Quantum Circuit Cutting Techniques,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio diversification in the S&P 500,qaoa_or_optimization,simulator,0.9200,The paper applies QAOA with circuit-cutting techniques to a portfolio diversification optimization problem in finance.,draft_llm,
c57f6422ed7b,Quantum Generative Adversarial Networks for learning and loading random distributions,include,"[""quantum_ml_for_finance""]",[],[],efficient approximate quantum state loading of financial distributions,quantum_ml,real_hardware,0.9200,"The paper develops and tests a quantum GAN for learning/loading financial distributions, a clear quantum ML application evaluated on IBM Q hardware.",draft_llm,
9b55a2fa0cd5,Research and Application of Quantum Computing Algorithm for Asset Portfolio Optimization,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],asset portfolio optimization,qaoa_or_optimization,benchmark_comparison,0.9200,The paper develops and benchmarks quantum algorithms for asset portfolio optimization against classical methods.,draft_llm,
63af985e2b4e,"Quantum-enhanced stock market prediction: Integrating AI, sentiment analysis, and multimodal data fusion",include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],stock market prediction with sentiment analysis and multimodal data fusion,quantum_ml,simulator,0.9200,The paper employs quantum machine learning techniques for stock market forecasting using simulated quantum hardware.,draft_llm,
f90adf90a78a,Exploring Quantum Neural Networks for Demand Forecasting,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],demand forecasting for vehicle financing,quantum_ml,simulator,0.9200,"The paper applies quantum neural networks to demand forecasting, comparing to classical RNNs, fitting forecasting and quantum ML topics.",draft_llm,
7451f70b35eb,A Quantum Online Portfolio Optimization Algorithm,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],online portfolio optimization in finance,amplitude_estimation,analytical,0.9100,Develops a quantum online portfolio optimization algorithm achieving quadratic speedup via state preparation and inner product estimation.,draft_llm,
34a559434eb1,Quantum Stochastic Walks for Portfolio Optimization: Theory and Implementation on Financial Networks,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],equity portfolio optimization,quantum_walk_or_search,benchmark_comparison,0.9100,The paper develops a quantum‐stochastic‐walk optimizer for portfolio construction and benchmarks its performance against classical mean–variance methods.,draft_llm,
7012f13a70a3,Unsupervised Quantum Anomaly Detection on Noisy Quantum Processors,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],anomaly detection in finance,quantum_ml,real_hardware,0.9100,The paper develops a quantum-enhanced one-class SVM for financial anomaly detection and validates it on real quantum hardware.,draft_llm,
b62275ba4e8f,Time-Series Forecasting Using Continuous Variables-Based Quantum Neural Networks,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],time series forecasting of energy consumption and stock prices,variational_or_vqe,simulator,0.9000,"The paper applies continuous-variable variational quantum neural networks for time series forecasting, comparing performance on simulators with classical and discrete-variable approaches.",draft_llm,
cf8de5885b73,Grover Search for Portfolio Selection,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio selection via Grover search,quantum_walk_or_search,simulator,0.9000,"The paper uses Grover’s quantum search to select portfolios, fitting portfolio_optimization with a quantum_walk_or_search method tested on simulators.",draft_llm,
7c6e8af63f61,Constrained Portfolio Optimization via Quantum Approximate Optimization Algorithm (QAOA) with XY-Mixers and Trotterized Initialization: A Hybrid Approach for Direct Indexing,include,"[""portfolio_optimization""]","[""optimization_methods"", ""benchmarking_and_advantage""]",[],ESG-constrained direct indexing,qaoa_or_optimization,simulator,0.9000,The paper develops and benchmarks a QAOA-based hybrid algorithm for constrained portfolio optimization in direct indexing.,draft_llm,
169a37e1a08c,Quantifying the advantages of applying quantum approximate algorithms to portfolio optimisation,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],discrete global minimum variance portfolio optimization,qaoa_or_optimization,simulator,0.9000,The paper develops and numerically simulates a QAOA-based approach to discrete portfolio optimization under realistic noise models.,draft_llm,
f761ba2b191d,Hybrid Quantum-Classical Ensemble Learning for S\&amp;P 500 Directional Prediction,include,"[""forecasting_and_prediction""]","[""trading_and_execution"", ""quantum_ml_for_finance""]",[],S&P 500 directional market prediction,variational_or_vqe,simulator,0.9000,The paper presents a hybrid variational quantum-classical ensemble model for directional market prediction evaluated via simulated backtesting.,draft_llm,
ba1a4182e578,Finding the Optimal Currency Composition of Foreign Exchange Reserves with a Quantum Computer,include,"[""portfolio_optimization""]","[""optimization_methods"", ""benchmarking_and_advantage""]",[],currency composition of foreign exchange reserves,qaoa_or_optimization,real_hardware,0.9000,The paper experimentally applies gate-based QAOA/VQE optimization algorithms to portfolio optimization of FX reserves on real quantum hardware while benchmarking against classical and annealing approaches.,draft_llm,
dcc9f218d7a2,Quantum computing for multidimensional option pricing: End-to-end pipeline,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo""]",[],multi-asset option pricing with risk-neutral density calibration and quantum-accelerated Monte Carlo,amplitude_estimation,benchmark_comparison,0.9000,Applies quantum amplitude estimation to accelerate multidimensional derivative pricing via Monte Carlo methods.,draft_llm,
25b9eceec1f2,Performance Comparison of QAOA Mixers for Ternary Portfolio Optimization,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],ternary portfolio optimization with QAOA mixers,qaoa_or_optimization,simulator,0.9000,This work applies and compares QAOA mixer variants for a ternary portfolio optimization problem in a simulated financial setting.,draft_llm,
f123e5ead03b,Bermudan option pricing by quantum amplitude estimation and Chebyshev interpolation,include,"[""derivative_pricing""]",[],[],Bermudan option pricing,amplitude_estimation,analytical,0.9000,The paper develops a quantum amplitude estimation algorithm for Bermudan option pricing and provides analytical complexity analysis.,draft_llm,
d85be19938f4,Quantum computation for pricing the collateralized debt obligations,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo""]",[],CDO pricing using copula models,amplitude_estimation,simulator,0.9000,The paper focuses on pricing CDOs using quantum amplitude estimation as an alternative to Monte Carlo simulation.,draft_llm,
6684e6c1b57f,Quantum Algorithm for Stochastic Optimal Stopping Problems with Applications in Finance,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo""]",[],American option pricing via stochastic optimal stopping,amplitude_estimation,analytical,0.9000,The paper introduces a quantum Monte Carlo algorithm for American option pricing (a derivative pricing problem) and analyzes its runtime theoretically using amplitude estimation techniques.,draft_llm,
34fc27290f18,Scaling the Variational Quantum Eigensolver for Dynamic Portfolio Optimization,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],dynamic portfolio optimization on quantum hardware,variational_or_vqe,real_hardware,0.9000,The paper applies VQE for dynamic portfolio optimization on real quantum hardware and tunes ansatz and optimizers.,draft_llm,
95ecf8c43fd1,FD4QC: Application of Classical and Quantum-Hybrid Machine Learning for Financial Fraud Detection A Technical Report,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],financial fraud detection,quantum_ml,benchmark_comparison,0.9000,"The paper benchmarks classical, quantum, and hybrid quantum ML models for financial fraud detection on real-world transaction data.",draft_llm,
