paper_id,title,human_decision,ai_decision,ai_confidence,discrepancy_type,re_review_decision,notes
346b80c33fe2,Quantum Computing and Cybersecurity Education: A Novel Curriculum for Enhancing Graduate STEM Learning,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
41a852fada38,Quantum Analysis of Continuous Time Stochastic Process,include,exclude,0.8000,human_only,include,"auto: human include confirmed (AI conf=0.80, reason=EX-TOOSHORT)"
ed02e34c2236,Quantum Computing: A Beginner's Guide To Future Processing,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-NOMETHOD)"
cf803ec26409,Quasi-binary encoding based quantum alternating operator ansatz,include,include,0.9200,agree_include,include,auto: both agree include
100335736ba1,Quantum Machine Learning: Redefining Computational Boundaries,exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
c1358ec0f6a6,Quantum Computation for Pricing Caps using the LIBOR Market Model,include,include,0.9300,agree_include,include,auto: both agree include
1bad58b8e8e7,Empirical Evaluation of QAOA with Zero Noise Extrapolation on NISQ Hardware for Carbon Credit Portfolio Optimization in the Brazilian Cerrado,include,include,0.8900,agree_include,include,auto: both agree include
3a533a166c84,Quantum Portfolio Optimization: An Extensive Benchmark,include,include,0.9000,agree_include,include,auto: both agree include
d3bf87c97dee,Exponential qubit reduction in optimization for financial transaction settlement,include,include,0.9200,agree_include,include,auto: both agree include
143b33c84fe7,"Artificial intelligence, machine learning, deep learning, and blockchain in financial and banking services: a comprehensive review",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
b97e7f0690c5,A Quantum Circuit Design for Quantum Portfolio Optimization Problem,include,include,0.9000,agree_include,include,auto: both agree include
aa0f8200d68f,A Hybrid Quantum-Classical Framework for Solving Np-Hard Optimization Problems,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-NONFIN)"
412a4331b358,Software for Creating Scalable Benchmarks from Quantum Algorithms,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-NONFIN)"
29cfef5a271e,Derivative Pricing using Quantum Signal Processing,include,include,0.9300,agree_include,include,auto: both agree include
0d3d64f9594f,"Quantum Genesis: In The Beginning, There Was Play",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
9625db7084a9,Systematic literature review: Quantum machine learning and its applications,exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
6682f67e2c33,Basic Operations in Quantum Computing and Biocomputing,exclude,exclude,0.3500,agree_exclude,exclude,auto: both agree exclude
785cff4dbd07,The rise of quantum computing in cloud: A new frontier for cloud services,exclude,exclude,0.8200,agree_exclude,exclude,auto: both agree exclude
9d465d7addba,On Information Theoretic and Distortion-based Security,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
1dba8d03bdaf,"Potential of AI, Quantum Computing, and Semiconductor Technology Adoption in Future Industries",exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
1bf880322e6f,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,include,include,0.9200,agree_include,include,auto: both agree include
9a4ba980a229,Quantum Approaches to NP-Hard Combinatorial Optimization Problems: A Review,include,exclude,0.8800,human_only,include,"auto: human include confirmed (AI conf=0.88, reason=EX-NOMETHOD)"
3318d42b7459,Quantum Computing Strategy,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-NOMETHOD)"
f93112e0b03a,"Universal Quantum Speedup for Branch-and-Bound, Branch-and-Cut, and Tree-Search Algorithms",include,include,0.9000,agree_include,include,auto: both agree include
8fc35690e0bc,Quantum Time-Energy Theory (QTET) & UTRER: QCC Echo REDACTED Outputs SHA-256 Hash Timestamped,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
824f8aa3a7f5,"Proceedings of the 18th International Conference on Hybrid Artificial Intelligence Systems, HAIS 2023",exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
955dd8044889,Quantum Finance: a tutorial on quantum computing applied to the financial market,include,include,0.9500,agree_include,include,auto: both agree include
34a559434eb1,Quantum Stochastic Walks for Portfolio Optimization: Theory and Implementation on Financial Networks,include,include,0.8000,agree_include,include,auto: both agree include
01326ce2213f,"Quantum Chebyshev Transform: Mapping, Embedding, Learning and Sampling Distributions",include,include,0.8800,agree_include,include,auto: both agree include
3f6142d2645d,Review on Quantum Computers in Machine Learning,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
76621edc33c1,Blockchain: Post-Quantum Security &amp;amp; Legal Economics,exclude,exclude,0.6500,agree_exclude,exclude,auto: both agree exclude
9b2873973a84,Quantum Recurrent Neural Networks for Sequential Learning,exclude,exclude,0.6200,agree_exclude,exclude,auto: both agree exclude
dcc9f218d7a2,Quantum computing for multidimensional option pricing: End-to-end pipeline,include,include,0.9500,agree_include,include,auto: both agree include
7f91dcfbca63,"Quantum-inspired anomaly detection, a QUBO formulation",include,exclude,0.8000,human_only,include,"auto: human include confirmed (AI conf=0.80, reason=EX-PARADIGM)"
0e57c18bd076,Quantum machine learning algorithms for anomaly detection: A review,exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
992728baff7a,"A Critical Review of Blockchain Security: Frameworks, Cryptographic Foundations, and Emerging Threats",exclude,exclude,0.7800,agree_exclude,exclude,auto: both agree exclude
bbd82caa4d1f,Quantum Computing Drives Innovation in Business Intelligence Across Marketing and Finance through Systematic Review and Strategic Foresight,include,exclude,0.8800,human_only,include,"auto: human include confirmed (AI conf=0.88, reason=EX-NOMETHOD)"
7051dd63cfc8,The Complex Path to Quantum Resistance,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
2b48b0e90efa,Multiobjective variational quantum optimization for constrained problems: an application to Cash Management,include,include,0.9000,agree_include,include,auto: both agree include
c6422717f546,Enterprise Portfolio Optimization Based on Particle Swarm Optimization and Quantum Approximate Optimization Algorithm,include,include,0.8800,agree_include,include,auto: both agree include
d21bf4bb49f1,Quantum in Consumer Technology,include,exclude,0.8200,human_only,include,"auto: human include confirmed (AI conf=0.82, reason=EX-NOMETHOD)"
f9a4ea0df88e,Quantum Time-Energy Theory (QTET) & UTRER: AFFIDAVIT,include,exclude,0.9500,human_only,include,"auto: human include confirmed (AI conf=0.95, reason=EX-NONFIN)"
c94ec3a9d152,A dual-phase deep learning framework for advanced phishing detection using the novel OptSHQCNN approach,include,exclude,0.9400,human_only,include,"auto: human include confirmed (AI conf=0.94, reason=EX-NONFIN)"
49f73c8cff66,How can emerging technology remedy the deficiency in robust enforcement mechanisms for digital copyright infringement within the South African music industry?,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
d43914334783,Solving the Optimal Trading Trajectory Problem Using a Quantum Annealer,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
da5f74409827,Integrating Emerging Technologies for Organizational Agility,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-NOMETHOD)"
8022993f9403,Chapter 1 Nanotechnology : Principles and Applications,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
4738fbde81a3,Application of quantum telecommunication in multi-agent system,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
266f81b4ac03,Leveraging Artificial Intelligence and Quantum Machine Learning for economic growth in Africa,exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
7ed9c37834b6,Non-Stoquastic Interactions in Quantum Annealing via the Aharonov-Anandan Phase,exclude,exclude,0.9300,agree_exclude,exclude,auto: both agree exclude
7d0bd769efb7,Ontological Cryptography and State-Based Security Architectures,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
602722add1d8,Hybrid Quantum Annealing with Innovative Trend Ratio Model for Portfolio Optimization,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
3d8b0fa826d2,PREDIKSI PERGERAKAN HARGA SAHAM MENGGUNAKAN QUANTUM MACHINE LEARNING BERBASIS VARIATIONAL QUANTUM CIRCUITS,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
800839d2eb3b,"Integrating Artificial Intelligence with Blockchain: A Literature Review on Opportunities, Challenges, and Applications",exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
70ea1c02b928,Quantum Without Hardware: Cloud Services and the New Computing Paradigm,exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
52b1d7c50b82,"Variational quantum Monte Carlo study of two-dimensional Wigner crystals: exchange, correlation, and magnetic field effects",include,exclude,0.9800,human_only,include,"auto: human include confirmed (AI conf=0.98, reason=EX-NONFIN)"
1d7c5e5804a2,Future Trends to Watch,exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
e0a04002122e,QAOA-based MRMR Algorithm for Feature Selection,include,include,0.7500,agree_include,include,auto: both agree include
6112b0b66db3,Biophotonic Quantum Reincarnation: A Testable Bridge Between Genesis Anthropology and Quantum Biology,exclude,exclude,0.9800,agree_exclude,exclude,auto: both agree exclude
c64928ef49e7,Zero-Trust Architecture Adaptation for Post-Quantum Cryptography: Implementation Roadmap for Critical Infrastructure,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
1bc4675bdbc6,Discrete-Time Quantum Walk of a Bose-Einstein Condensate in Momentum Space,include,exclude,0.9200,human_only,include,"auto: human include confirmed (AI conf=0.92, reason=EX-NONFIN)"
9700e75505fd,Hybrid Quantum-Classical Algorithms for Loan-Collection Optimization with Loan-Loss Provisions,include,include,0.9300,agree_include,include,auto: both agree include
1de0ca5e8cf2,Quantum Machine Learning Based on K-Means to Optimize Cross-Border Intelligent Payment Supervision,include,include,0.7000,agree_include,include,auto: both agree include
258cef4e076f,Navigating optimization and security challenges in the AI-driven digital economy: from classical limits to quantum solutions,exclude,include,0.6000,ai_rescue,include,auto: AI rescue accepted - finance + gate-based (conf=0.60)
17229c637aaf,Cross-Disciplinary Integration of Quantum Computing in Economics and Finance,include,exclude,0.7900,human_only,include,"auto: human include confirmed (AI conf=0.79, reason=EX-NOMETHOD)"
69a4901976a9,Generative Quantum Learning of Joint Probability Distribution Functions,include,include,0.9200,agree_include,include,auto: both agree include
3150f16bb064,A convergence time of Grover walk on regular graph to stationary state with constant inflow to every vertex,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
c0bdb4f7322b,A Quantum Monte Carlo Approach to the Adiabatic Connection Method,include,exclude,0.9500,human_only,exclude,"auto: non-finance topic, no finance terms (EX-NONFIN)"
f67b13b40931,Integration of innovative business models using quantum computing and generative AI,include,exclude,0.8800,human_only,include,"auto: human include confirmed (AI conf=0.88, reason=EX-NOMETHOD)"
0ac0e371d0e6,Comprehensive Analysis of Emerging Challenges and Solutions in Cloud Computing,exclude,exclude,0.9300,agree_exclude,exclude,auto: both agree exclude
99a18ebc75bb,"The Nexus Framework: Recursive Harmonic Operations Across Physical, Digital, and Cognitive Domains",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
8696d99d4b18,Margaret McCartney: Charities should respect evidence,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
dfd464e83103,Corrigendum to “Omnisolver: An extensible interface to Ising spin–glass and QUBO solvers” [SoftwareX 24 (2023) 101559],include,exclude,0.8200,human_only,include,"auto: human include confirmed (AI conf=0.82, reason=EX-NONFIN)"
618a035e5260,BLS-QLSTM: a novel hybrid quantum neural network for stock index forecasting,include,include,0.9200,agree_include,include,auto: both agree include
5c9fef8c2825,Financial Index Tracking via Quantum Computing with Cardinality Constraints,include,exclude,0.9200,human_only,include,"auto: human include confirmed (AI conf=0.92, reason=EX-PARADIGM)"
dd846d58c0b9,Transfer learning of optimal QAOA parameters in combinatorial optimization,include,include,0.9200,agree_include,include,auto: both agree include
00c17032f4af,Toward Quantum Enabled Solutions for Real-Time Currency Arbitrage in Financial Markets,include,include,0.9000,agree_include,include,auto: both agree include
25b9eceec1f2,Performance Comparison of QAOA Mixers for Ternary Portfolio Optimization,include,include,0.9300,agree_include,include,auto: both agree include
7e0bccd34042,Quantum Machine Learning methods for Fourier-based distribution estimation with application in option pricing,include,include,0.9200,agree_include,include,auto: both agree include
52e0df095385,Loading Probability Distributions in a Quantum circuit,exclude,exclude,0.8700,agree_exclude,exclude,auto: both agree exclude
995ce0e5e610,"Transforming Digital Accounting: Big Data, IoT, and Industry 4.0 Technologies—A Comprehensive Survey",exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
916504439e5c,MANAGING INTERNATIONAL TRADE FINANCE: THE IMPACT OF TECHNOLOGY ON BANKING PROCESSES,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
b0458b5bc906,Next Gen Security With Quantum-Safe Cryptography,exclude,exclude,0.9300,agree_exclude,exclude,auto: both agree exclude
ac61a64ba260,"Navigating the Digital Frontier: A Comprehensive Exploration of Data Analytics, Big Data, Data Science, and Their Impact on International Business and Financial Services",exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
a548908100f8,Effective optimization using sample persistence: A case study on quantum annealers and various Monte Carlo optimization methods,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
4e492b86e6c7,Computer-Aided Quantum Algorithms for Real-Time Energy Market Trading,include,exclude,0.9500,human_only,include,"auto: human include confirmed (AI conf=0.95, reason=EX-PARADIGM)"
64522483ae83,Guest editorial: Selected extended papers from the Quantum Software Architecture Workshop at IEEE International Conference on Software Architecture 2021 (ICSA 2021),include,exclude,0.8600,human_only,include,"auto: human include confirmed (AI conf=0.86, reason=EX-NOMETHOD)"
157054b518f8,Quantum computing research: An in-depth exploration,include,exclude,0.9000,human_only,include,"auto: human include confirmed (AI conf=0.90, reason=EX-TOOSHORT)"
ee8df98c29e5,Post-Quantum DLT Framework for Secure Financial Transactions in Banking Applications,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
875c6cff09bb,Case Study on Digital India and Fintech Growth,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
593f3ec6b2cc,"ΦBlockchain: A Quantum-Resistant, Immutable Blockchain Protocol",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
cfc22a0f0b6b,A new time-series model based on quantum walk,include,include,0.7500,agree_include,include,auto: both agree include
66a04943d594,"Quantum-Safe Networks for 6G: An Integrated Survey on PQC, QKD, and Satellite QKD with Future Perspectives",exclude,exclude,0.8700,agree_exclude,exclude,auto: both agree exclude
c64e91a7d47d,"2021 International Interdisciplinary Scientific Conference on Digitalisation and Sustainability for Development Management: Economic, Social, and Ecological Aspects, DSDM 2021",exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
4506b658dc59,Enhancing financial fraud detection using adaptive machine learning models and business analytics,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
ed0de8d44eff,Quantum Thinking in Finance,include,include,0.8500,agree_include,include,auto: both agree include
135bf0e19b10,Performance evaluation of post quantum digital signature algorithms over WDM optical communication system,include,exclude,0.9400,human_only,include,"auto: human include confirmed (AI conf=0.94, reason=EX-PARADIGM)"
978c511d611a,A Study on Web Cryptography Increase the Security of Web Applications with the Expansion of Privacy Issues and Cyberthreats,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
ad4a32b0959a,"Quantum Computing, Qubits with Artificial Intelligence, and Blockchain Technologies: A Roadmap for the Future",exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
5200a7e71a96,Comparison of the Greek Version of the Quick Mild Cognitive Impairment Screen and Montreal Cognitive Assessment in Older Adults,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
e68890c1f564,Quantum Finance in Focus,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
86ebf109f0fd,Rapid mixing of path integral Monte Carlo for 1D stoquastic Hamiltonians,include,exclude,0.9800,human_only,exclude,"auto: non-finance topic, no finance terms (EX-NONFIN)"
026a7b6919fc,Hybrid Classical-quantum Computing: Applications to Statistical Mechanics of Financial Markets,include,exclude,0.8600,human_only,include,"auto: human include confirmed (AI conf=0.86, reason=EX-PARADIGM)"
e4bb7333aaa5,Variational quantum eigensolver with linear depth problem-inspired ansatz for solving portfolio optimization in finance,include,include,0.9600,agree_include,include,auto: both agree include
d95a84f9ce02,Implementation of a Hybrid Classical-Quantum Annealing Algorithm for Logistic Network Design,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
0067a26ce270,Quantum algorithm for stochastic optimal stopping problems,include,include,0.9200,agree_include,include,auto: both agree include
11ff02556b47,Quantum support vector machines for classification and regression on a trapped-ion quantum computer,include,include,0.9300,agree_include,include,auto: both agree include
1741b5307653,Enhancing online security using selective DOM approach to counter phishing attacks,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
cf0d84ba3b6a,Experiments on Fraud Detection use case with QML and TDA Mapper,include,include,0.8700,agree_include,include,auto: both agree include
439e311b1bba,Quantum cloud computing: Enterprise strategies for hybrid quantum-classical workloads,exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
623597ee0f9c,Dividing quantum circuits for time evolution of stochastic processes by orthogonal series density estimation,include,include,0.9500,agree_include,include,auto: both agree include
27524be1be57,ICI 2023 Abstract,exclude,exclude,0.8600,agree_exclude,exclude,auto: both agree exclude
05a01a257cc7,Large-scale portfolio optimization using Pauli Correlation Encoding,include,include,0.9200,agree_include,include,auto: both agree include
47166749a93e,Spin singlet topological superconductivity in the attractive Rashba Hubbard model,include,exclude,0.9500,human_only,exclude,"auto: non-finance topic, no finance terms (EX-NONFIN)"
a146239facf5,Exploiting Reset Operations in Cloud-based Quantum Computers to Run Quantum Circuits for Free,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
ab8ec0885239,A Hybrid Quantum-Classical Simulation Architecture for Catastrophe Tail Risk and Reinsurance Portfolio Optimization&amp;nbsp;,include,include,0.6000,agree_include,include,auto: both agree include
23311f65fe2a,Solving Feature Selection Problem by Quantum Optimization Algorithm,include,exclude,0.8300,human_only,include,"auto: human include confirmed (AI conf=0.83, reason=EX-TOOSHORT)"
37cf5f16057c,TabularQGAN: A Quantum Generative Model for Tabular Data,exclude,exclude,0.8700,agree_exclude,exclude,auto: both agree exclude
c8c709dc67c3,Quantum synergy in peptide folding: A comparative study of CVaR-variational quantum eigensolver and molecular dynamics simulation,include,exclude,0.9500,human_only,include,"auto: human include confirmed (AI conf=0.95, reason=EX-NONFIN)"
356fe5baf984,Quantum Secure Image Transmission: A Chaos‐Assisted Quantum Key Distribution Approach Using Entanglement,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
97f724169c71,Document Automation in Enterprise Integration: A Technical Framework for Cloud-Based SaaS Solutions,exclude,exclude,0.8400,agree_exclude,exclude,auto: both agree exclude
4328ac0ca25b,"Redefining Finance in the Cloud: Architecture, Intelligence, and Innovation",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
fcaf01bfdba0,The Role of AI and Machine Learning in Financial Data Engineering,exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
e725aca0dd2a,Cloud Computing Frameworks and Emerging Paradigms in Modern Digital Transformation & Virtualization,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
215735d42d9c,"Sustainable Futures: AI, Nanotechnology, and Quantum Solutions for Climate and Energy Innovation",exclude,exclude,0.7900,agree_exclude,exclude,auto: both agree exclude
249b9e3ca6ca,Neural Quantum States for Scientific Computing: Applications to Computational Chemistry and Finance,exclude,exclude,0.8600,agree_exclude,exclude,auto: both agree exclude
ead5abdcd847,Quantum-Inspired Hybrid Machine Learning Framework for Scalable Computational Next-Generation Technologies,exclude,exclude,0.8500,agree_exclude,exclude,auto: both agree exclude
2dc8d62cecac,Parameter Setting in Quantum Approximate Optimization of Weighted Problems,include,include,0.9300,agree_include,include,auto: both agree include
296dd193c78f,A framework to evaluate the performance of Variational Quantum Algorithms,include,include,0.8800,agree_include,include,auto: both agree include
53080a041da9,"Confidential-computing cyber defense platform sharing threat intelligence, fortifying critical infrastructure against emerging cryptographic attacks nationwide",exclude,exclude,0.8800,agree_exclude,exclude,auto: both agree exclude
bee124984953,"Quantum-Secured E-Commerce with Blockchain, BB84 and BLAKE3 Encryption Using GNN",exclude,exclude,0.9300,agree_exclude,exclude,auto: both agree exclude
f792c5e92b0c,Prospects and challenges of quantum finance,include,exclude,0.8800,human_only,include,"auto: human include confirmed (AI conf=0.88, reason=EX-NOMETHOD)"
bf1a6c72261b,AI-Driven Privacy Shield: A Secure and Privacy-Preserving Federated Learning Framework,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
bf6db651f13b,Quantum Computing for Finance: A Guided Tour,exclude,exclude,0.8200,agree_exclude,exclude,auto: both agree exclude
8125642d9f68,TRANSFORMING FINTECH FRAUD DETECTION WITH ADVANCED ARTIFICIAL INTELLIGENCE ALGORITHMS,exclude,exclude,0.9200,agree_exclude,exclude,auto: both agree exclude
2bcea2efd785,"Big Data in Financial Risk Management: Predictive Modeling, Real-Time Assessment and Emerging Challenges",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
6879094fa857,A Bibliometric Analysis of Quantum Machine Learning Research,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
cf30c27e711a,A Critical Analysis of a Multi-Input Cnn Architecture for Quantum-Enhanced Forecasting,include,include,0.8600,agree_include,include,auto: both agree include
ed78d0e6e778,Challenges and opportunities for Romania,exclude,exclude,0.9100,agree_exclude,exclude,auto: both agree exclude
9d73451ea3ad,Quantum Security Multi-Party Extremum Protocol with Greenberger–Horne–Zeilinger States,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
ac936695f2cd,Digitalization of health care in low- and middle-income countries,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
9c4681ed0b36,"ADVANCED DIGITAL TECHNOLOGIES IN FINANCIAL AND BUSINESS MANAGEMENT: Unleashing the Power of Artificial Intelligence, Machine Learning, Blockchain, and the Internet of Things",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
3ef4b532205f,Investigating Classification with Quantum Computing,exclude,exclude,0.7800,agree_exclude,exclude,auto: both agree exclude
c0d24cf1b7ed,Practical Meta-Reinforcement Learning of Evolutionary Strategy with Quantum Neural Networks for Stock Trading,include,include,0.9000,agree_include,include,auto: both agree include
db557002f4a4,Development of the quantum bitcoin (BTC),exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
993fb6f2e1a5,"22nd International Conference on Informatics in Economy, IE 2023",exclude,exclude,0.6500,agree_exclude,exclude,auto: both agree exclude
0c0025fa8fb8,Data Interoperability: Enabling Smooth Cross-Platform Communication,exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
8d08019fb608,Applications of Quantum Machine Learning for Quantitative Finance,include,exclude,0.9200,human_only,include,"auto: human include confirmed (AI conf=0.92, reason=EX-NOMETHOD)"
9f70845f4068,Cryogenic CMOS supply voltage regulator for quantum computing applications,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
5beb1712456c,Using Quantum Monte Carlo Simulation to Price Complicated Derivatives In the Big Data Environment,include,include,0.9000,agree_include,include,auto: both agree include
212caa67ef42,Life on Mars,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
c6b117836d6f,Machine Learning in the Quantum Era,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
b8ac945260d6,"5th International Conference on Data Analytics and Management, ICDAM 2024",exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
68e080ab39e8,Quantum Computing and the Financial System: Spooky Action at a Distance?,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
596d3496c56c,Unleashing the Potential of LLMs for Quantum Computing: A Study in Quantum Architecture Design,include,include,0.8500,agree_include,include,auto: both agree include
49dc03e35036,A Threshold for Quantum Advantage in Derivative Pricing,include,include,0.9200,agree_include,include,auto: both agree include
47412220e1bb,Quantum Computational Algorithms for Derivative Pricing and Credit Risk in a Regime Switching Economy,include,include,0.8500,agree_include,include,auto: both agree include
ac4e3e3dcd95,The challenges and concerns of quantum computing,exclude,exclude,0.8000,agree_exclude,exclude,auto: both agree exclude
e58ac4c8c6aa,Preface,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
cc1442611f8f,Simulating the flight gate assignment problem on a trapped ion quantum computer,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
67f83161d410,A Survey of Quantum Computing for Finance,include,exclude,0.9400,human_only,include,"auto: human include confirmed (AI conf=0.94, reason=EX-NOMETHOD)"
4d0406b8b736,Advanced frameworks for fraud detection leveraging quantum machine learning and data science in fintech ecosystems,include,include,0.0000,agree_include,include,auto: both agree include
470b798927ef,Extrapolation method to optimize linear-ramp QAOA parameters: Evaluation of QAOA runtime scaling,include,include,0.9500,agree_include,include,auto: both agree include
95a7b64bceac,Quantum Computing for Advanced Market Forecasting and Risk Management in Financial Services,include,include,0.0000,agree_include,include,auto: both agree include
39e897283cac,Exploring the synergistic potential of quantum annealing and gate model computing for portfolio optimization,include,include,0.9000,agree_include,include,auto: both agree include
2d0f0ad6fd20,Transformation of the Financial Sector in the Context of the Digital Economy,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
2896abff2596,Hybrid Quantum-Classical Transfer Learning Model for Credit Risk Assessment with Reduced Quantum Overhead and Enhanced Minority Class Prediction,include,include,0.9200,agree_include,include,auto: both agree include
e83bed322a34,"19th Mexican International Conference on Artificial Intelligence, MICAI 2020",exclude,exclude,0.7000,agree_exclude,exclude,auto: both agree exclude
57ed01f77bc6,Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,include,include,0.8500,agree_include,include,auto: both agree include
d71dfde2116a,Smart Infrastructure for Sustainable Energy Consumption: Leveraging AI and Big Data.,exclude,exclude,0.9500,agree_exclude,exclude,auto: both agree exclude
