paper_id,title,human_decision,ai_decision,ai_confidence,audit_decision,audit_notes
0c9d511a8acb,HISTORICAL EVOLUTION OF IT TERMINOLOGY AND ITS FURTHER DEVELOPMENT,exclude,exclude,0.9000,,
33cd15cda848,Institutional transformations of the global financial system in technological revolution’s terms,exclude,exclude,0.8500,,
5263ff3a931c,"Converging AI innovation and quantum security for data-driven compliance, financial crime re-regulation",exclude,exclude,0.7800,,
b85298be1821,Quantum-Resistant Cryptographic Mechanisms for AI-Powered IoT Financial Systems,exclude,exclude,0.9200,,
21d0b67b2c11,Hybrid Quantum-Classical Machine Learning for Lithography Hotspot Detection,exclude,exclude,0.9500,,
b526f8d97475,Polynomial-time classical sampling of high-temperature quantum Gibbs states,exclude,exclude,0.8800,,
81e45b9c9ee5,A comparative analysis of classical machine learning models with quantum-inspired models for predicting world surface temperature,exclude,exclude,0.9000,,
249b9e3ca6ca,Neural Quantum States for Scientific Computing: Applications to Computational Chemistry and Finance,exclude,exclude,0.8600,,
581a9bdd2510,Loop Feynman integration on a quantum computer,exclude,exclude,0.8600,,
6305f1971d53,Empirical estimate of intraseasonal and interannual variability of occurrence of tornadoes,exclude,exclude,0.9500,,
b4785e9fa811,Quantum-Enhanced Digital Signatures: A New Frontier in Secure Authentication,exclude,exclude,0.8500,,
3715904260dd,A Game-Theoretic Framework for Generic Second-Order Traffic Flow Models Using Mean Field Games and Adversarial Inverse Reinforcement Learning,exclude,exclude,0.9500,,
fcff116a6cd1,Crowd-Sourcing High-Value Information via Quantum Intelligence Game,exclude,exclude,0.7500,,
9e0cfe6ebfe1,Universal Equation Axes Framework v1.2,exclude,exclude,0.8500,,
399db41f0f9d,Innovative approaches to crisis financial management in the context of digital transformation,exclude,exclude,0.9000,,
dc622f60f6bc,Chapter 8 Applications of quantum computing in financial planning and financial control,exclude,exclude,0.8000,,
223c1b7557b2,Digital Twin Technology: Revolutionizing Aircraft Maintenance Through Simulation,exclude,exclude,0.9500,,
97f724169c71,Document Automation in Enterprise Integration: A Technical Framework for Cloud-Based SaaS Solutions,exclude,exclude,0.8400,,
45c59d0ccdc2,Developing an Agile Process for Quantum Annealing Applications: An Industrial Experience,exclude,exclude,0.8500,,
adb09795d82f,How the financial sector can anticipate the threats of quantum computing to keep payments safe and secure,exclude,exclude,0.8500,,
d676ccdb12e2,Scalable neural quantum states architecture for quantum chemistry,exclude,exclude,0.9200,,
14d183709128,Influence of Dipole-Dipole Interaction on Formation of Electronic Excitations in a Semiconductor Quantum Well System,exclude,exclude,0.9500,,
7ed9c37834b6,Non-Stoquastic Interactions in Quantum Annealing via the Aharonov-Anandan Phase,exclude,exclude,0.9300,,
dde17bcf108e,Analyzing the Data of Software Security Life-Span: Quantum Computing Era,exclude,exclude,0.9200,,
bda26918696a,LatinX in AI at International Conference on Machine Learning 2022,exclude,exclude,0.9200,,
1364a8bd9dd5,"Quantum Leap in Finance: Economic Advantages, Security, and Post-Quantum Readiness",exclude,exclude,0.8800,,
7471e3f6b2cb,Quantum Computing: Advancing the Horizons of Computational Capabilities,exclude,exclude,0.9000,,
5d0b65cd054b,Quantum Finance: Exploring the Implications of Quantum Computing on Financial Models,exclude,exclude,0.9200,,
26af33b8ee3f,Quantum Artificial Intelligence (QAI) Paradigm for Voice‐Controlled Devices,exclude,exclude,0.8500,,
b7e74c4d86c4,Development and testing of the effectiveness of hybrid cryptographic algorithms for protecting personal data in mobile applications,exclude,exclude,0.9000,,
2cec53ded6db,The Future of Banking Fraud Detection: Emerging IT Technologies and Trends,exclude,exclude,0.8500,,
b854763516fb,Current status and prospect of quantum communication on space-based platforms,exclude,exclude,0.9200,,
7cbecd422cca,Highly Accurate Real-space Electron Densities with Neural Networks,exclude,exclude,0.9500,,
6a577b940397,ENHANCING QUANTUM CRYPTOGRAPHY WITH MACHINE AND DEEP LEARNING A HYBRID APPROACH FOR SECURE AND SCALABLE POST-QUANTUM SECURITY,exclude,exclude,0.9000,,
4b59b08e046f,"AI, big data, quantum computing, and financial exclusion",exclude,exclude,0.8200,,
f5f1ac805656,Quantum Machine Learning: A Primer,exclude,exclude,0.6000,,
6c7fe2ddfc94,Need and Challenges in Quantum Computing in Fog Environment,exclude,exclude,0.8500,,
24ba115254db,"The Emergence of Quantum Computing: Intellectual Property, Partnerships, and the Aerospace Sector",exclude,exclude,0.9300,,
81a0f0ec06d3,Trust Asymmetry and the Ethics of Post-Quantum Decentralized AI,exclude,exclude,0.7000,,
b712afa27669,Machine Learning and Deep Learning in Financial Market Predictions: Strategies for Risk and Volatility Management,exclude,exclude,0.8900,,
cf687151773c,"Machine learning and deep learning: Methods, techniques, applications, challenges, and future research opportunities",exclude,exclude,0.8500,,
a68afe1bb086,The Future of the Quantum Computing workforce: Discovery and Use Cases - Robert Loredo,exclude,exclude,0.9000,,
bdd2c3e97bee,My work on quantum computing aims to solve the world’s most complex problems,exclude,exclude,0.9000,,
53d74bcee59e,The Role of Emerging Technologies in Banking &amp; Financial Services,exclude,exclude,0.8600,,
7f76be2e4d1a,Quantum computing and risk prediction accuracy: an analysis of IT companies’ risk appetite,exclude,exclude,0.8500,,
6ebc96d48085,TQEA: Temporal Quantum Error Analysis,exclude,exclude,0.9300,,
4ec82736e3a4,Quantum Lipschitz Bandits,exclude,exclude,0.8600,,
1855f77670eb,"Exploring cybersecurity law evolution in safeguarding critical infrastructure against ransomware, state-sponsored attacks, and emerging quantum threats",exclude,exclude,0.9300,,
facfbb52d1c8,Quantum-Enhanced Travel Procurement: Hybrid Quantum–Classical Optimization for Enterprise Travel Management,exclude,exclude,0.8600,,
e7a389fae14b,Real-Time Data Analytics Integration: A Technical Deep Dive,exclude,exclude,0.9000,,
b3d53bfc13ff,Quantum Computing for Market and Counterparty Credit Risk Measurement,exclude,exclude,0.7800,,
6562a982b0dc,Chapter 12 Quantum computing: application-specific need of the hour,exclude,exclude,0.8500,,
9aa12f0cd9d5,Strategic Significance of Machine Learning in Financial Services,exclude,exclude,0.8500,,
45eeaf97f6f9,Benchmarking Quantum Annealing Controls with Portfolio Optimization,exclude,exclude,0.9500,,
efecb55cbc96,Security of Mobile Applications: Challenges and Best Practices,exclude,exclude,0.9200,,
0b28bf2a3886,Quantum Financial System — Development Process and Impact on the Real Sector,exclude,exclude,0.9000,,
b51364274ad2,Quantum computing reduces systemic risk in financial networks,exclude,exclude,0.8500,,
72c1eb7d469d,Conceptualizing Digital Sanctions as a New Type of Economic Sanctions in the Digital Era: Digital-Related Sanctions Measures Against Russia and Their Consequences,exclude,exclude,0.9000,,
4fb7dac266ae,The Development of Artificial Intelligence and Machine Learning: Applications in Financial Services,exclude,exclude,0.8600,,
e870b378a4c7,A Comparative Analysis of Quantum Computing Variational Quantum Eigensolver Algorithm and Molecular Dynamics Simulations for Peptide Folding,exclude,exclude,0.8800,,
fe6c286f273a,Tip- and Laser-based 3D Nanofabrication in Extended Macroscopic Working Areas,exclude,exclude,0.9200,,
195b13bcd815,"Quantum Computing in FinTech: Disrupting Cryptography, Risk Modeling, and High-Frequency Trading",exclude,exclude,0.8500,,
96934c448f44,Big Data in Finance: Data processing and storage solutions for handling large financial datasets,exclude,exclude,0.9500,,
d2afd4e9bf37,6 Algorithmic exploration of unveiling fault tolerance in quantum machine learning,exclude,exclude,0.8500,,
a9b3a181da54,Enhanced quantum long short-term memory by using bidirectional ring variational quantum circuit,exclude,exclude,0.8200,,
eaa6b742dd6c,Advancing Multidisciplinary STEM Education with Mathematics for Future-Ready Quantum Algorithmic Literacy,exclude,exclude,0.9500,,
d140590299fe,Quantum-Enhanced AI Candlestick Imaging Model (QECIM): Expansion with Accelerated Forward and Backtesting Using New Qubits for Enhanced Predictive Analysis,exclude,exclude,0.8000,,
13225a1ff601,"QUANTUM COMPUTING IN BIG DATA ANALYTICS: A COMPREHENSIVE REVIEW: ASSESSING THE ADVANCEMENTS, CHALLENGES, AND POTENTIAL IMPLICATIONS OF QUANTUM APPROACHES IN HANDLING MASSIVE DATA SETS",exclude,exclude,0.8600,,
ea8f374b869d,"AI, big data, quantum computing, and financial exclusion: Tempering enthusiasm and offering a human-centric approach to policy",exclude,exclude,0.8500,,
0af1a2719764,A Model for Ideal and Non-Ideal Behavior of Quantum Circuits,exclude,exclude,0.8500,,
7f744e8e8e04,"2nd Southern African Conference on Artificial Intelligence Research, SACAIR 2021",exclude,exclude,0.7000,,
7865394eafd4,Architecture of Integrated Systems for Modern Industries,exclude,exclude,0.9000,,
ef624ce0a9a0,Current and Future Global Challenges in Management and Leadership: Finance and Quantum Computing,exclude,exclude,0.7500,,
a947903a1327,Quantum economics: key features and postulates,exclude,exclude,0.8800,,
087b5e1aaad0,Phase State,exclude,exclude,0.9200,,
4155c3f9f894,AI-Driven Predictive Threat Detection and Cyber Risk Mitigation: A Survey,exclude,exclude,0.9300,,
f90e99f53f5f,Quantum Machine Learning for Finance ICCAD Special Session Paper,exclude,exclude,0.9000,,
5ef766898f45,"ENHANCING RISK MANAGEMENT AND FRAUD DETECTION IN THE U.S. FINANCIAL INDUSTRY THROUGH MACHINE LEARNING ALGORITHMS: APPLICATIONS, CHALLENGES, AND FUTURE DIRECTIONS.",exclude,exclude,0.8600,,
23febfa1d3fb,Optimizing Energy Infrastructure with AI Technology: A Literature Review,exclude,exclude,0.9500,,
f9c9d91544fe,Applications in Finance,exclude,exclude,0.8000,,
33043e189f4c,The 420° Circle: Ki = 3.15 and the Foundations of Quantum Logic Processors,exclude,exclude,0.9500,,
f23e966604de,Future development of digital built asset management,exclude,exclude,0.9300,,
c986dab65773,Quantum Secret Sharing (QSS) in Quantum Blockchain Systems: A Comprehensive Survey and Future Outlook,exclude,exclude,0.9000,,
e9d1504321ca,Post-Quantum Encryption for Securing Cross-Border Financial Communications in Regulated Environments,exclude,exclude,0.9500,,
3e431dcd42cf,Data Engineering Project (Educating for the Future PhUSE Working Group),exclude,exclude,0.8000,,
54991ed1926b,"Quantum Computing in Artificial Intelligence: Enhancing Machine Learning Algorithms with Linear Regression, Random Forest Regression, Support Vector Machines",exclude,exclude,0.8600,,
475c265e68ec,Financial Innovation and Fintech in Corporate Finance,exclude,exclude,0.9100,,
f5c6181652b9,A Psychological View of Complex Numbers through Classical and Quantum Computing,exclude,exclude,0.9800,,
fd32bd36033f,Pre-Quantum to Post-Quantum Cryptography: An Extensive Survey,exclude,exclude,0.9800,,
fc5e14cbe734,Development of the Logistics 4.0 Concept in the Digital Economy,exclude,exclude,0.9200,,
130e57f7f90b,Employee Satisfaction and Enterprise Digital Transformation —— Empirical Evidence from the “Top 100 Employers of the Year in China”,exclude,exclude,0.9200,,
bf4ee7e030cc,Responsible Quantum Readiness: A Perspective from Financial Services Organization,exclude,exclude,0.8600,,
2c3e4ded5421,Author Correction: More is different in real-world multilayer networks,exclude,exclude,0.9400,,
d74307dc455a,Modified Quantum Long-Short Term Memory with Variational Quantum Circuits for PV Power Forecasting,exclude,exclude,0.9100,,
cbd99d9226f0,Non-perturbative Many-Body Treatment of Molecular Magnets,exclude,exclude,0.9500,,
661877e3f7b1,A BenchCouncil View on Benchmarking Emerging and Future Computing,exclude,exclude,0.8800,,
75cc178deee4,Quantum Applications in the Business Landscape: Potentials of the Upcoming Era of Digital Transformation,exclude,exclude,0.6000,,
7051dd63cfc8,The Complex Path to Quantum Resistance,exclude,exclude,0.9500,,
19481f866e4d,AI & Quantum Computing for Finance & Insurance:Fortunes and Challenges for China and America,exclude,exclude,0.8500,,
37cf5f16057c,TabularQGAN: A Quantum Generative Model for Tabular Data,exclude,exclude,0.8700,,
09b4bc210a8c,Practical Applications of Quantum Computing: <i>An Interview with D-Wave Systems CEO Vern Brownell</i>,exclude,exclude,0.8800,,
1492bde52c74,Existential security and the governance challenge: Confronting the antinomies of securitisation,exclude,exclude,0.9500,,
0e28114f39a8,Fighting noise with noise: a stochastic projective quantum eigensolver,exclude,exclude,0.9200,,
17e05278776e,A Brief Review of Quantum Machine Learning for Financial Services,exclude,exclude,0.9200,,
15b0d8cec140,AI-driven risk management and regulatory compliance in banking with SAP ERP,exclude,exclude,0.8800,,
722228332a44,Post-Quantum Cryptography for Quantum Resilient Data Transfer,exclude,exclude,0.9500,,
cf2f5e3c07fd,Symbiotic Intelligence in Forecasting Cyber-Enabled Financial Crime,exclude,exclude,0.8500,,
034ce56023c2,"Big Data Mining and Analysis: Methods, Challenges, Applications, and Future Trends",exclude,exclude,0.9000,,
bb3e39b724b5,Verifying Results of Quantum Circuit Compilation Flows,exclude,exclude,0.9000,,
b42fac5de917,Multi-Agent Large Language Models for Traditional Finance and Decentralized Finance,exclude,exclude,0.9300,,
bf8f53f22f74,"Data and Code from: ""Quantum Machine Learning for Near-Term Feasibility: A Survey of Emerging Directions and Challenges""",exclude,exclude,0.8600,,
c35d151f577f,Cryptographic Defense Against Quantum Computer Attacks: A Scoping Review,exclude,exclude,0.8000,,
15cf6573858c,Quantum Machine Learning Approaches for Real-Time Market Pattern Recognition in High-Frequency Trading: A Banking Sector Application,exclude,exclude,0.8800,,
9629fc8c96a9,Stock Prediction Using Artificial Intelligence Technology: A Review,exclude,exclude,0.8900,,
58ffe237c1b6,Conclusion and lessons learned: Maximizing the potential of hybrid cloud models,exclude,exclude,0.9300,,
479accacf668,Paradigm shift in management philosophy: Future challenges in global organizations,exclude,exclude,0.9000,,
6c0af2c60bf0,Quantum Finance: um tutorial de computação quântica aplicada ao mercado financeiro,exclude,exclude,0.9000,,
2e578046bd76,Development of post-quantum cryptosystems based on the Rao-Nam scheme,exclude,exclude,0.9500,,
613a054cc8b2,&lt;p&gt;Partial Least Squares Structural Equation Modeling (PLS-SEM) In The AI Era: Innovative Methodological Guide and Framework for Business Research&lt;/p&gt;,exclude,exclude,0.9200,,
48a8a1d60230,Deep neural networks for quantum circuit mapping,exclude,exclude,0.9200,,
f058d35a5f35,Fast Simulated Annealing inspired by Quantum Monte Carlo,exclude,exclude,0.9000,,
78d7c3a41e89,Automatization and digitalization in agriculture,exclude,exclude,0.9200,,
5582d5195588,Difference between quantum annealing by imaginary-time and real-time Schrödinger equation of Grover's search,exclude,exclude,0.9200,,
d5ae35f1622f,Binding energy of polaronic trions and biexcitons in CsPbBr$_3$ nanocrystals,exclude,exclude,0.9500,,
dac79e289b71,Quantum computing: current and potential applications in digital agriculture,exclude,exclude,0.9200,,
4092c6fa926e,"1st EAI International Conference on Intelligent Systems and Machine Learning, ICISML 2022",exclude,exclude,0.7500,,
9ae638a86189,Leveraging Big Data Analytics for Market Forecasting and Investment Strategy in Digital Finance,exclude,exclude,0.9500,,
3e8c3ec6426f,Applications and Trends in Fintech I,exclude,exclude,0.7500,,
5682e449de45,Quantum-Resistant Key Generation Using QBLH Geometric Structures and Tetrahedral Trinary Encoding: A Novel Approach in Post-Quantum Cryptography,exclude,exclude,0.9200,,
47ebff39e885,Beyond Algorithms: The New Industrial Revolution Powered by AI and Deep Learning,exclude,exclude,0.9200,,
13440524a4c0,Quantum computing and secure business models,exclude,exclude,0.8500,,
9d630c640e03,The evolving landscape of digital health using big data analytics for personalized healthcare,exclude,exclude,0.9200,,
