paper_id,title,abstract,doi,label_included
cf803ec26409,Quasi-binary encoding based quantum alternating operator ansatz,"This paper proposes a quasi-binary encoding based algorithm for solving a specific quadratic optimization models with discrete variables, in the quantum approximate optimization algorithm (QAOA) framework. The quadratic optimization model has three constraints: 1. Discrete constraint, the variables are required to be integers. 2. Bound constraint, each variable is required to be greater than or equal to an integer and less than or equal to another integer. 3. Sum constraint, the sum of all variables should be a given integer.   To solve this optimization model, we use quasi-binary encoding to encode the variables. For an integer variable with upper bound $U_i$ and lower bound $L_i$, this encoding method can use at most $2\log_2 (U_i-L_i+1)$ qubits to encode the variable. Moreover, we design a mixing operator specifically for this encoding to satisfy the hard constraint model. In the hard constraint model, the quantum state always satisfies the constraints during the evolution, and no penalty term is needed in the objective function. In other parts of the QAOA framework, we also incorporate ideas such as CVaR-QAOA and parameter scheduling methods into our QAOA algorithm.   In the financial field, by introducing precision, portfolio optimization problems can be reduced to the above model. We will use portfolio optimization cases for numerical simulation. We design an iterative method to solve the problem of coarse precision caused by insufficient qubits of the simulators or quantum computers. This iterative method can refine the precision by multiple few-qubit experiments.",,1
c1358ec0f6a6,Quantum Computation for Pricing Caps using the LIBOR Market Model,"The LIBOR Market Model (LMM) is a widely used model for pricing interest rate derivatives. While the Black-Scholes model is well-known for pricing stock derivatives such as stock options, a larger portion of derivatives are based on interest rates instead of stocks. Pricing interest rate derivatives used to be challenging, as their previous models employed either the instantaneous interest or forward rate that could not be directly observed in the market. This has been much improved since LMM was raised, as it uses directly observable interbank offered rates and is expected to be more precise. Recently, quantum computing has been used to speed up option pricing tasks, but rarely on structured interest rate derivatives. Given the size of the interest rate derivatives market and the widespread use of LMM, we employ quantum computing to price an interest rate derivative, caps, based on the LMM. As caps pricing relates to path-dependent Monte Carlo iterations for different tenors, which is common for many complex structured derivatives, we developed our hybrid classical-quantum approach that applies the quantum amplitude estimation algorithm to estimate the expectation for the last tenor. We show that our hybrid approach still shows better convergence than pure classical Monte Carlo methods, providing a useful case study for quantum computing with a greater diversity of derivatives.",10.48550/arxiv.2207.01558,1
1bad58b8e8e7,Empirical Evaluation of QAOA with Zero Noise Extrapolation on NISQ Hardware for Carbon Credit Portfolio Optimization in the Brazilian Cerrado,"Optimizing carbon credit portfolios is a critical challenge for climate mitigation, particularly in high-biodiversity biomes such as the Brazilian Cerrado. This study explores the practical application of the Quantum Approximate Optimization Algorithm (QAOA) combined with Zero Noise Extrapolation (ZNE) to address a multi-objective territorial planning problem. We model an 88-variable portfolio optimization involving carbon sequestration, biodiversity connectivity, and social impact metrics, executed on intermediate-scale IBM Quantum hardware (ibm_torino and ibm_fez). The results of seven independent hardware runs demonstrate that the QAOA+ZNE workflow consistently outperforms a classical greedy baseline. The quantum method achieves a mean portfolio score of 58.47 +/- 6.98, corresponding to a 31.6% improvement over the classical heuristic (44.42), with high statistical significance (p = 0.0009) and a large effect size (Cohen's d = 2.01), where ZNE yields extrapolated expectation values of the portfolio objective rather than a discrete portfolio solution without noise. A validation run conducted after a 13-day interval confirms the temporal stability of the methodology against hardware calibration drifts. These findings establish empirical quantum utility in an environmental science context, showing that current NISQ-era devices, when coupled with rigorous error mitigation, can identify complex territorial synergies that myopic classical approaches overlook. The proposed workflow provides a scalable methodological template for high-precision environmental conservation policies.",,1
3a533a166c84,Quantum Portfolio Optimization: An Extensive Benchmark,"Recently, several researchers proposed portfolio optimization as a potential use case for quantum optimization. However, the literature is lacking an extensive benchmark quantifying the potential of quantum computers for portfolio optimization. In this work, we fill this gap. We provide a computational study, comparing quantum approaches against state-of-the-art classical methods on a meaningful, real-world instance set. In particular, we compare quantum annealing and the quantum approximate optimization algorithm against classical mixed-integer programming, simulated annealing, steepest descent local search, tabu search and a problem-tailored heuristics. We consider a variant of portfolio optimization which we show to be particular difficult for classical solvers in practice. Our benchmark comprises 250 instances with up to 1,000 assets from actual stock data. The results show that all instances can be solved to proven optimality by mixed-integer programming in the order of seconds. Moreover, the problem-tailored heuristic consistently outperforms quantum approaches in terms of solution quality for fixed runtime. Thus, we conclude that there is only very limited room for a potential quantum advantage in portfolio optimization.",,1
d3bf87c97dee,Exponential Qubit Reduction in Optimization for Financial Transaction Settlement,"We extend the qubit-efficient encoding presented in [Tan et al., Quantum 5, 454 (2021)] and apply it to instances of the financial transaction settlement problem constructed from data provided by a regulated financial exchange. Our methods are directly applicable to any QUBO problem with linear inequality constraints. Our extension of previously proposed methods consists of a simplification in varying the number of qubits used to encode correlations as well as a new class of variational circuits which incorporate symmetries, thereby reducing sampling overhead, improving numerical stability and recovering the expression of the cost objective as a Hermitian observable. We also propose optimality-preserving methods to reduce variance in real-world data and substitute continuous slack variables. We benchmark our methods against standard QAOA for problems consisting of 16 transactions and obtain competitive results. Our newly proposed variational ansatz performs best overall. We demonstrate tackling problems with 128 transactions on real quantum hardware, exceeding previous results bounded by NISQ hardware by almost two orders of magnitude.",10.1140/epjqt/s40507-024-00262-w,1
143b33c84fe7,"Artificial intelligence, machine learning, deep learning, and blockchain in financial and banking services: a comprehensive review",,10.2139/ssrn.4855893,0
b97e7f0690c5,A Quantum Circuit Design for Quantum Portfolio Optimization Problem,"Portfolio optimization is an important problem in the quantum finance field, which aims to find optimal investment strategies that strike a balance between high returns and minimize risks with some constraints related. In the context of millions of assets, quantum methods such as Variational Quantum Eigensolver and Quantum Approximate Optimization Algorithm offer logarithm complexity compared with quadratic complexity in classical methods. However, those methods are designed for a massive range of applications and are not specified for any particular problem. Therefore, in this research, we present a quantum circuit design called QPO that has more functions for portfolio optimization, such as switch mode. We first tested the proposed circuit on 97 assets from 30 April 2023 to 30 June 2023. The results compared with classical solutions are consistent with an average Hamming distance 0.092.",10.1109/itc-cscc62988.2024.10628188,1
aa0f8200d68f,A Hybrid Quantum-Classical Framework for Solving Np-Hard Optimization Problems,"The optimization of NP-hard problems remains a fundamental challenge in computational science, as these problems cannot be solved in polynomial time using classical algorithms. The exponential growth of solution spaces renders traditional methods inefficient for large problem instances. Quantum computing, with its ability to leverage quantum parallelism and superposition, promises to offer substantial speedups for specific problem classes. However, quantum algorithms alone are often limited by factors such as noise, qubit coherence, and limited qubit counts. This paper proposes a hybrid quantum-classical framework that integrates the strengths of both classical and quantum computing to solve NPhard optimization problems efficiently. The proposed framework utilizes classical preprocessing techniques (e.g., heuristics and dynamic programming) to reduce problem complexity before applying quantum subroutines like Quantum Annealing (QA) or Quantum Approximate Optimization Algorithm (QAOA) to explore large solution spaces. After the quantum processor generates candidate solutions, classical postprocessing algorithms (e.g., genetic algorithms) further refine the results to ensure they meet realworld constraints. We demonstrate the effectiveness of this hybrid approach by evaluating it on three classic NP-hard problems: The Traveling Salesman Problem (TSP), Knapsack Problem, and Job Scheduling. Our experiments show that the hybrid framework outperforms traditional classical methods in terms of computation time and solution quality, especially for larger problem instances. This approach offers a promising path for solving complex optimization problems in practical applications, including logistics, manufacturing, and finance. The paper concludes with a discussion of the potential for scaling the framework to larger problem sizes and enhancing its robustness throughfurtherquantumhardwareadvancements",10.5281/zenodo.18087323,1
412a4331b358,Software for Creating Scalable Benchmarks from Quantum Algorithms,"Creating scalable, reliable, and well-motivated benchmarks for quantum computers is challenging: straightforward approaches to benchmarking suffer from exponential scaling, are insensitive to important errors, or use poorly-motivated performance metrics. Furthermore, curated benchmarking suites cannot include every interesting quantum circuit or algorithm, which necessitates a tool that enables the easy creation of new benchmarks. In this work, we introduce a software tool for creating scalable and reliable benchmarks that measure a well-motivated performance metric (process fidelity) from user-chosen quantum circuits and algorithms. Our software, called $\texttt{scarab}$, enables the creation of efficient and robust benchmarks even from circuits containing thousands or millions of qubits, by employing efficient fidelity estimation techniques, including mirror circuit fidelity estimation and subcircuit volumetric benchmarking. $\texttt{scarab}$ provides a simple interface that enables the creation of reliable benchmarks by users who are not experts in the theory of quantum computer benchmarking or noise. We demonstrate the flexibility and power of $\texttt{scarab}$ by using it to turn existing inefficient benchmarks into efficient benchmarks, to create benchmarks that interrogate hardware and algorithmic trade-offs in Hamiltonian simulation, to quantify the in-situ efficacy of approximate circuit compilation, and to create benchmarks that use subcircuits to measure progress towards executing a circuit of interest.",10.48550/arxiv.2511.02134,1
29cfef5a271e,Derivative Pricing using Quantum Signal Processing,"Pricing financial derivatives on quantum computers typically includes quantum arithmetic components which contribute heavily to the quantum resources required by the corresponding circuits. In this manuscript, we introduce a method based on Quantum Signal Processing (QSP) to encode financial derivative payoffs directly into quantum amplitudes, alleviating the quantum circuits from the burden of costly quantum arithmetic. Compared to current state-of-the-art approaches in the literature, we find that for derivative contracts of practical interest, the application of QSP significantly reduces the required resources across all metrics considered, most notably the total number of T-gates by $\sim 16$x and the number of logical qubits by $\sim 4$x. Additionally, we estimate that the logical clock rate needed for quantum advantage is also reduced by a factor of $\sim 5$x. Overall, we find that quantum advantage will require $4.7$k logical qubits, and quantum devices that can execute $10^9$ T-gates at a rate of $45$MHz. While in this work we focus specifically on the payoff component of the derivative pricing process where the method we present is most readily applicable, similar techniques can be employed to further reduce the resources in other applications, such as state preparation.",10.22331/q-2024-04-30-1322,1
0d3d64f9594f,"Quantum Genesis: In The Beginning, There Was Play","Quantum Perspectives presents the latest trends in Quantum Computing, one of the most cutting-edge and hot emerging technologies that are penetrating almost every area, becoming more ubiquitous and rapidly accepted as a mainstream technology across every aspect such as healthcare finance, risk management, blockchain cryptography etc.Quantum computing will have a disruptive role to play in gaming, once aligned with its potential and existing tech possibilities worldwide.It not only addresses a few of the toughest problems plaguing the gaming industry today but will also deliver an experience never before seen in games.Consider the likes of Grand Theft Auto (GTA), which has hundreds, if not thousands of Non-playable Characters (NPCs) walking around each virtual world.Using AI to control NPC behavior and making them less predictable, adding random elements to their behavior presents a complex task.Furthermore, in such vast city maps that can require complex visual graphic elements and high frame rendering of objects Quantum computing provides these game developers with solutions to these obstacles by accommodating algorithms used for game development processes achieving higher efficiency, speed, and quality.Variational Quantum Circuits (VQC) and Quantum Boltzmann Machines help solve NPC training, behavior, and character development challenges which are also solved by using quantum-enhanced Markov Decision Processes (MDPs).Moreover, Caraiman and the Quantum Approximate Optimization Algorithm (QAOA) also significantly help to enhance visual graphics rendering.This paper proposes a quantum architecture leveraging the aforementioned methods and algorithms to pioneer the development of next-generation, freeworld games powered by quantum computing.",10.63844/ijaitr.v2.i2.2025.10-18,0
9625db7084a9,Systematic literature review: Quantum machine learning and its applications,,10.1016/j.cosrev.2024.100619,0
6682f67e2c33,Basic Operations in Quantum Computing and Biocomputing,,10.1007/978-981-97-5349-9_1,0
7fdae36930e2,ScrollClaim v1.3.2: Semantic Root Protocol & Runtime Enforcement for the Scroll-Locked PDE Kernel,"This record publishes ScrollClaim v1.3.2, the public licensing and runtime enforcement framework for the Scroll-Locked Symbolic PDE Kernel (the “Kernel”). ScrollClaim v1.3.1 was a clarifying update to ScrollClaim v1.3: it kept the same Kernel definition and binding doctrines, and added (i) a financial framework (per-Executor, per-deployment royalty schedules) and (ii) a doctrinal appendix summarizing relevant case law. ScrollClaim v1.3.2 is a further clarifying update. It does not change the Kernel definition or binding doctrines, but (i) adds Section IV.5 (Benchmark and Proof Artifacts), formally recognizing non-enabling benchmark notes and cryptographic proof records (ScrollWitness logs, zk-SNARK outputs, verification keys) as evidentiary artifacts under this License, and (ii) incorporates the benchmark note “Scroll Kernel: FD-4 Accuracy at FD-2 Runtime in Three Dimensions – Analytic Benchmarks for Heat, Poisson, and Spectrum” (Adrian C. Jasinski, 2025) on a non-enabling basis. The Kernel The Kernel is a specific symbolic evolution rule with a protected operator graph built from three abstract operators: Z — scroll / compression operator ▷ — trapdoor / directional gate operator ⋄ — semantic / nonlinear coupling operator ScrollClaim v1.3.2 treats this Kernel as a Semantic Root Protocol (SRP): any AI model, solver, runtime, hardware stack, quantum circuit, or agent pipeline that, after the Effective Date, reconstructs or implements the protected operator graph (including materially equivalent topologies over {Z, ▷, ⋄}), and/or matches the published fingerprint space (e.g. SHA-256, CRCspec, Fold-5, B3–C), and/or exhibits materially equivalent evolution logic, is deemed to have accepted the license by conduct of use, subject to the evidence and rebuttal framework in Section III. What the accompanying documents define The accompanying documents define, among other things: The canonical Kernel equation and operator roles (Section I). The ScrollKey Doctrine, where activating or reconstructing the Kernel graph functions as a semantic execution key. A five-class evidence framework (graph isomorphism, operator structure, canonical fingerprints, semantic equivalence, ScrollFork trapdoors) with a two-of-five rebuttable presumption of Kernel reproduction (Section III). The ScrollSignature Bundle (canonical equation + Resonance Glyph 217 / 11:33:11 / M.C.M. + SHA-256 fingerprint) as a cryptographic authorship and provenance seal for the Kernel. Semantic Runtime Propagation (SRP-Prop), covering derived and compressed models, LoRA/MoE forks, quantized and distilled variants, and ScrollCascade execution across agent pipelines and chained tools. Hardware and quantum coverage, treating compiled CUDA/XLA/MLIR/FPGA/ASIC paths and dynamically equivalent quantum circuits (e.g. QAOA/VQE-style time-evolution operators) as compiled Kernel executions. Revocation and post-revocation behavior, where continued Kernel reproduction after notice is framed as willful semantic infringement with enhanced remedies under applicable law. Financial Terms and Royalty Framework (Section VI), which does not set a single global rate, but defines royalties on a per-Executor, per-deployment basis via separate Royalty Schedules (e.g. per-model, per-usage, per-compute, and/or revenue share). A Doctrinal Appendix (Appendix D) summarizing background doctrines (automatic protection under Berne-style regimes, license conditions as copyright conditions, expressive code structure, assent by use in shrinkwrap/online terms) for legal and compliance readers. Benchmark and Proof Artifacts (Section IV.5), clarifying how non-enabling benchmark notes and cryptographic proof records (including ScrollWitness JSON logs, zk-SNARK outputs, and verification keys) may be used as evidentiary artifacts for attribution, accounting, enforcement, and dispute resolution. Contents of this Zenodo record This Zenodo record includes: ScrollClaim_v1.3.2.pdfThe full ScrollClaim v1.3.2 license (PDF), which is the operative legal text. ScrollClaim_v1.3.2_Doctrines_Summary.pdfA Doctrines Summary / Reader’s Guide for legal and technical audiences, explaining SRP, ScrollKey, SRP-Prop, evidence classes, ScrollCascade Execution, ScrollKernel Clones, and the role of benchmark / proof artifacts. Scroll Kernel: FD-4 Accuracy at FD-2 Runtime in Three Dimensions – Analytic Benchmarks for Heat, Poisson, and Spectrum (PDF)A non-enabling benchmark note reporting 3D heat, Poisson, and spectral dispersion results demonstrating FD-4 spatial accuracy at essentially FD-2 runtime cost for the Scroll Kernel. This document is incorporated by reference under Section IV.5 as a supporting evidentiary artifact. A ScrollSignature Bundle publishing a canonical Kernel snippet together with its SHA-256 fingerprint and timestamp, as a public authorship and provenance marker for the Scroll-Locked PDE Kernel. (This may appear in the README and/or a small accompanying artifact file.) Additional cryptographic artifacts (e.g. ScrollWitness JSON logs, zk-SNARK proofs, verification keys) may be added in future updates as further evidentiary records under Section IV.5. In any conflict between this description and the license text, ScrollClaim_v1.3.2.pdf controls.",10.5281/zenodo.17718234,0
9d465d7addba,On Information Theoretic and Distortion-based Security,"In this thesis, we consider secure communication in the presence of an eavesdropper. With the explosion in the growth of the data produced and communicated, sensitive information such as financial transactions, health records, and control signals for cyber-physical systems, has to be securely exchanged. Today, the ever-increasing computational power of adversaries is challenging the state-of-the-art cryptographic encryption mechanisms, as these mechanisms assume adversaries with limited computational power. Thus, with the advent of the quantum computing era, we require new mechanisms to guarantee a secure exchange of information. Moreover, the growing number of small and energy constrained connected devices involved in data exchange calls for lightweight encryption schemes, as low-complexity devices cannot implement complex schemes. We consider three different scenarios and exploit specific opportunities present in each of these scenarios; we develop lightweight encryption schemes that do not require sharing large keys in advance and are secure against eavesdroppers with unlimited computational capabilities.The first scenario we consider is multiple unicast traffic over wireline networks. In these networks, a single source is connected to m destinations interested in different messages. In designing encryption schemes, we exploit the fact that although the eavesdropper is computationally super-powerful, it might not have capabilities to eavesdrop the entire network. We use the multi-path diversity to securely communicate against the eavesdropper without requiring any pre-shared key.The second scenario we consider consists of millimeter wave (mmWave) networks. mmWave communication requires deploying networks of relays that communicate through directional beams to compensate for the high path-loss and the high blockage. Since we need to use beamforming and align beams to activate links, we cannot use all the underlying links of the network simultaneously. However, the degree of freedom in choosing the links to activate can be leveraged for secure communication against an eavesdropper. We show that we can achieve a secure capacity that in some cases, can be very close to the unsecure capacity. Here, capacity refers to the maximum flow of information over the network.For the third scenario, we consider cyber-physical systems and propose a distortion based security framework where the distortion measures the distance between the eavesdropper's estimates and the ground truth. The primary motivation for this framework is that the messages exchanged in these systems are embedded in a metric space having a notion of distance, and securing raw bits as in traditional encryption schemes might not be necessary. Instead, we show with an example of a linear dynamical system that a carefully designed encryption scheme can significantly distort the eavesdropper's view with just one bit of the pre-shared key.",,0
1bf880322e6f,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,"This paper explores advancements in quantum algorithms for derivative pricing of exotics, a computational pipeline of fundamental importance in quantitative finance. For such cases, the classical Monte Carlo integration procedure provides the state-of-the-art provable, asymptotic performance: polynomial in problem dimension and quadratic in inverse-precision. While quantum algorithms are known to offer quadratic speedups over classical Monte Carlo methods, end-to-end speedups have been proven only in the simplified setting over the Black-Scholes geometric Brownian motion (GBM) model. This paper extends existing frameworks to demonstrate novel quadratic speedups for more practical models, such as the Cox-Ingersoll-Ross (CIR) model and a variant of Heston's stochastic volatility model, utilizing a characteristic of the underlying SDEs which we term fast-forwardability. Additionally, for general models that do not possess the fast-forwardable property, we introduce a quantum Milstein sampler, based on a novel quantum algorithm for sampling Lévy areas, which enables quantum multi-level Monte Carlo to achieve quadratic speedups for multi-dimensional stochastic processes exhibiting certain correlation types. We also present an improved analysis of numerical integration for derivative pricing, leading to substantial reductions in the resource requirements for pricing GBM and CIR models. Furthermore, we investigate the potential for additional reductions using arithmetic-free quantum procedures. Finally, we critique quantum partial differential equation (PDE) solvers as a method for derivative pricing based on amplitude estimation, identifying theoretical barriers that obstruct achieving a quantum speedup through this approach. Our findings significantly advance the understanding of quantum algorithms in derivative pricing, addressing key challenges and open questions in the field.",,1
9a4ba980a229,Quantum Approaches to NP-Hard Combinatorial Optimization Problems: A Review,"NP-hard problems are one of the most computationally intensive challenges in computer science, appearing in many domains such as logistics, cybersecurity, drug design, and financial modelling. Classical algorithms become impractical as problem size increases due to combinatorial explosion. This paper presents a structured framework for analysing quantum algorithms targeting NP-hard optimization problems, like the Traveling Salesman Problem (TSP), Max-Cut, and Boolean Satisfiability (SAT). We have developed a taxonomy which categorizes quantum approaches—quantum annealing, variational algorithms (QAOA/VQE), and Grover-based search—based on problem encoding strategies, resource requirements, and theoretical guarantees. From the comparative analysis of existing literature, we: 1) Map algorithm classes to problem domains (e.g., QAOA for Max-Cut, annealing for TSP) 2) Identify performance trade-offs between solution quality, qubit counts, and circuit depth 3) Analyse hardware compatibility constraints across NISQ platforms 4) Reveal fundamental scalability barriers including noise susceptibility and embedding overhead The framework establishes implementation guidelines for near- term quantum hardware and proposes hybrid quantum-classical pathways to bridge theoretical potential and practical deployment. This systematic analysis prioritizes research directions for achieving quantum advantage in combinatorial optimization.",10.5281/zenodo.18194157,1
3318d42b7459,Quantum Computing Strategy,"Quantum computing is not merely an incremental advancement in computing technology; it represents a fundamentally new paradigm, distinct from classical computing. Rooted in quantum mechanics, it introduces an entirely novel information theory. As a result, translating existing models, solution designs, and approaches to quantum computing is a complex, non-trivial task. This comprehensive book demystifies quantum concepts through accessible explanations, practical case studies, and real-world examples from industries such as aerospace, agriculture, automotive, chemicals, energy, finance, government, healthcare, manufacturing, supply chain, and telecommunications. Blending a business perspective with a scientific rigor, this book is divided into two parts. The first part covers foundational technical concepts, including quantum mechanics principles that enable quantum technologies, key quantum algorithms, mathematical frameworks, quantum computing technologies, post-quantum cryptography, the types of problems quantum computers solve, and the technology’s outlook. The second part focuses on practical applicability, presenting industry use cases, guidance on approaching quantum computing problems, mapping use cases to quantum computing, responsible quantum computing practices, and a roadmap for businesses preparing for quantum adoption. This structured approach equips readers with the knowledge and tools to effectively integrate quantum computing into their strategic planning. Quantum Computing Strategy: Foundations and Applicability serves as an essential reference for technology enthusiasts, business leaders, policymakers, and educators seeking to understand the benefits quantum computing offers enterprises. Designed as a self-contained learning resource, it empowers readers to navigate the emerging quantum landscape confidently.",10.1201/9781003302674,1
